keV,_data_xfm_16238b_raw_384D22_HighRes_66039_66039.0_0_E,SNIP,PIXE_Fit__GeoPIXE_
      -0.2636904716491699,       0.000000,       0.000000,       0.000000
      -0.2551365494728088,       0.000000,       0.000000,       0.000000
      -0.2465826272964478,       0.000000,       0.000000,       0.000000
      -0.2380287051200867,       0.000000,       0.000000,       0.000000
      -0.2294747829437256,       0.000000,       0.000000,       0.000000
      -0.2209208607673645,       0.000000,       0.000000,       0.000000
      -0.2123669385910034,       0.000000,       0.000000,       0.000000
      -0.2038130164146423,       0.000000,       0.000000,       0.000000
      -0.1952590942382812,       0.000000,       0.000000,       0.000000
      -0.1867051720619202,       0.000000,       0.000000,       0.000000
      -0.1781512498855591,       0.000000,       0.000000,       0.000000
      -0.1695972681045532,       0.000000,       0.000000,       0.000000
      -0.1610433459281921,       0.000000,       0.000000,       0.000000
      -0.1524894237518311,       0.000000,       0.000000,       0.000000
      -0.1439355015754700,       0.000000,       0.000000,       0.000000
      -0.1353815793991089,       0.000000,       0.000000,       0.000000
      -0.1268276572227478,       0.000000,       0.000000,       0.000000
      -0.1182737350463867,       0.000000,       0.000000,       0.000000
      -0.1097198128700256,       0.000000,       0.000000,       0.000000
      -0.1011658906936646,       0.000000,       0.000000,       0.000000
     -0.09261196851730347,       0.000000,       0.000000,       0.000000
     -0.08405804634094238,       0.000000,       0.000000,       0.000000
     -0.07550412416458130,       0.000000,       0.000000,       0.000000
     -0.06695020198822021,       0.000000,       0.000000,       0.000000
     -0.05839622020721436,       0.000000,       0.000000,       0.000000
     -0.04984235763549805,       0.000000,       0.000000,       0.000000
     -0.04128837585449219,       0.000000,       0.000000,       0.000000
     -0.03273451328277588,       0.000000,       0.000000,       0.000000
     -0.02418053150177002,       0.000000,       0.000000,       0.000000
     -0.01562666893005371,       0.000000,       0.000000,       0.000000
    -0.007072687149047852,       0.000000,       0.000000,       0.000000
     0.001481175422668457,       0.000000,       0.000000,       0.000000
      0.01003515720367432,       0.000000,       0.000000,       0.000000
      0.01858901977539062,       0.000000,       0.000000,       0.000000
      0.02714300155639648,       0.000000,       0.000000,       0.000000
      0.03569698333740234,       0.000000,       0.000000,       0.000000
      0.04425084590911865,       0.000000,       0.000000,       0.000000
      0.05280482769012451,       0.000000,       0.000000,       0.000000
      0.06135869026184082,       0.000000,       0.000000,       0.000000
      0.06991267204284668,       0.000000,       0.000000,       0.000000
      0.07846653461456299,       0.000000,       0.000000,       0.000000
      0.08702051639556885,       0.000000,       0.000000,       0.000000
      0.09557437896728516,       0.000000,       0.000000,       0.000000
       0.1041283607482910,       0.000000,       0.000000,       0.000000
       0.1126822233200073,       0.000000,       0.000000,       0.000000
       0.1212362051010132,       0.000000,       0.000000,       0.000000
       0.1297900676727295,       0.000000,       0.000000,       0.000000
       0.1383440494537354,       0.000000,       0.000000,       0.000000
       0.1468979120254517,       0.000000,       0.000000,       0.000000
       0.1554518938064575,       0.000000,       0.000000,       0.000000
       0.1640057563781738,       0.000000,       0.000000,       0.000000
       0.1725597381591797,       0.000000,       0.000000,       0.000000
       0.1811137199401855,       0.000000,       0.000000,       0.000000
       0.1896675825119019,       0.000000,       0.000000,       0.000000
       0.1982215642929077,       0.000000,       0.000000,       0.000000
       0.2067754268646240,       0.000000,       0.000000,       0.000000
       0.2153294086456299,       0.000000,       0.000000,       0.000000
       0.2238832712173462,       0.000000,       0.000000,       0.000000
       0.2324372529983521,       0.000000,       0.000000,       0.000000
       0.2409911155700684,       0.000000,       0.000000,       0.000000
       0.2495450973510742,       0.000000,       0.000000,       0.000000
       0.2580989599227905,       0.000000,       0.000000,       0.000000
       0.2666529417037964,       0.000000,       0.000000,       0.000000
       0.2752068042755127,       0.000000,       0.000000,       0.000000
       0.2837607860565186,       0.000000,       0.000000,       0.000000
       0.2923146486282349,       0.000000,       0.000000,       0.000000
       0.3008686304092407,       0.000000,       0.000000,       0.000000
       0.3094226121902466,       0.000000,       0.000000,       0.000000
       0.3179764747619629,       0.000000,       0.000000,       0.000000
       0.3265304565429688,       0.000000,       0.000000,       0.000000
       0.3350843191146851,       0.000000,       0.000000,       0.000000
       0.3436383008956909,       0.000000,       0.000000,       0.000000
       0.3521921634674072,       0.000000,       0.000000,       0.000000
       0.3607461452484131,       0.000000,       0.000000,       0.000000
       0.3693000078201294,       0.000000,       0.000000,       0.000000
       0.3778539896011353,       0.000000,       0.000000,       0.000000
       0.3864078521728516,       0.000000,       0.000000,       0.000000
       0.3949618339538574,       0.000000,       0.000000,       0.000000
       0.4035156965255737,       0.000000,       0.000000,       0.000000
       0.4120696783065796,       0.000000,       0.000000,       0.000000
       0.4206235408782959,       0.000000,       0.000000,       0.000000
       0.4291775226593018,       0.000000,       0.000000,       0.000000
       0.4377315044403076,       0.000000,       0.000000,       0.000000
       0.4462853670120239,       0.000000,       0.000000,       0.000000
       0.4548393487930298,      0.7873230,       0.000000,       0.000000
       0.4633932113647461,      0.2126770,       0.000000,       0.000000
       0.4719471931457520,       0.000000,       0.000000,       0.000000
       0.4805010557174683,       0.000000,       0.000000,       0.000000
       0.4890550374984741,       0.000000,       0.000000,       0.000000
       0.4976089000701904,       0.000000,       0.000000,       0.000000
       0.5061628818511963,       0.000000,       0.000000,       0.000000
       0.5147167444229126,       0.000000,       0.000000,       0.000000
       0.5232707262039185,       0.000000,       0.000000,       0.000000
       0.5318245887756348,       0.000000,       0.000000,       0.000000
       0.5403785705566406,       0.000000,       0.000000,       0.000000
       0.5489324331283569,       0.000000,       0.000000,       0.000000
       0.5574864149093628,       0.000000,       0.000000,       0.000000
       0.5660402774810791,       0.000000,       0.000000,       0.000000
       0.5745942592620850,      0.9175720,       0.000000,       0.000000
       0.5831482410430908,      0.2941437,       0.000000,       0.000000
       0.5917021036148071,       1.930222,       0.000000,       0.000000
       0.6002560853958130,       2.290421,       0.000000,       0.000000
       0.6088099479675293,       3.987564,       0.000000,       0.000000
       0.6173639297485352,       6.510712,       0.000000,       0.000000
       0.6259177923202515,       7.933731,       0.000000,       0.000000
       0.6344717741012573,       11.74101,       0.000000,       0.000000
       0.6430256366729736,       12.13516,       0.000000,       0.000000
       0.6515796184539795,       20.46326,       0.000000,       0.000000
       0.6601334810256958,       15.18695,       0.000000,       0.000000
       0.6686874628067017,       13.35893,       0.000000,       0.000000
       0.6772413253784180,       24.38268,       0.000000,       0.000000
       0.6857953071594238,       28.12585,       0.000000,       0.000000
       0.6943491697311401,       28.17978,       0.000000,       0.000000
       0.7029031515121460,       30.86115,       0.000000,       0.000000
       0.7114570140838623,       40.67082,       0.000000,       0.000000
       0.7200109958648682,       48.24770,       0.000000,       0.000000
       0.7285649776458740,       53.18639,       0.000000,       0.000000
       0.7371188402175903,       57.99957,       0.000000,       0.000000
       0.7456728219985962,       52.29836,       0.000000,       0.000000
       0.7542266845703125,       55.54002,       0.000000,       0.000000
       0.7627806663513184,       53.42778,       0.000000,       0.000000
       0.7713345289230347,       54.10233,       0.000000,       0.000000
       0.7798885107040405,       52.20894,       0.000000,       0.000000
       0.7884423732757568,       49.69128,       0.000000,       0.000000
       0.7969963550567627,       53.80571,       0.000000,       0.000000
       0.8055502176284790,       44.43820,       0.000000,       0.000000
       0.8141041994094849,       61.06282,       0.000000,       0.000000
       0.8226580619812012,       51.43330,       0.000000,       0.000000
       0.8312120437622070,       60.89726,       0.000000,       0.000000
       0.8397659063339233,       54.76262,       0.000000,       0.000000
       0.8483198881149292,       46.92743,       0.000000,       0.000000
       0.8568738698959351,       50.36882,       0.000000,       0.000000
       0.8654277324676514,       62.52682,       0.000000,       0.000000
       0.8739817142486572,       78.57668,       0.000000,       0.000000
       0.8825355768203735,       101.9633,       0.000000,       0.000000
       0.8910895586013794,       141.3453,       0.000000,       0.000000
       0.8996434211730957,       222.0496,       0.000000,       0.000000
       0.9081974029541016,       316.3394,       0.000000,       0.000000
       0.9167512655258179,       517.2420,       0.000000,       0.000000
       0.9253052473068237,       883.8766,       0.000000,       0.000000
       0.9338591098785400,       1353.576,       0.000000,       0.000000
       0.9424130916595459,       2131.063,       0.000000,       0.000000
       0.9509670734405518,       3088.718,       0.000000,       0.000000
       0.9595208168029785,       4627.000,       0.000000,       0.000000
       0.9680747985839844,       6772.974,       0.000000,       0.000000
       0.9766287803649902,       9823.617,       0.000000,       0.000000
       0.9851827621459961,       14339.78,       0.000000,       0.000000
       0.9937367439270020,       20201.54,       0.000000,       0.000000
        1.002290487289429,       27843.52,       0.000000,       0.000000
        1.010844469070435,       38480.74,       0.000000,       0.000000
        1.019398450851440,       51978.07,       0.000000,       0.000000
        1.027952432632446,       68672.37,       0.000000,       0.000000
        1.036506175994873,       90940.51,       0.000000,       0.000000
        1.045060157775879,       116828.8,       0.000000,       0.000000
        1.053614139556885,       148305.8,       0.000000,       0.000000
        1.062168121337891,       186077.5,       0.000000,       0.000000
        1.070721864700317,       229638.1,       0.000000,       0.000000
        1.079275846481323,       278653.0,       0.000000,       0.000000
        1.087829828262329,       335580.4,       0.000000,       0.000000
        1.096383810043335,       397210.8,       0.000000,       0.000000
        1.104937553405762,       464146.8,       0.000000,       0.000000
        1.113491535186768,       535190.8,       0.000000,       0.000000
        1.122045516967773,       611016.0,       0.000000,       0.000000
        1.130599498748779,       690371.1,       0.000000,       0.000000
        1.139153480529785,       772098.1,       0.000000,       0.000000
        1.147707223892212,       855222.4,       0.000000,       0.000000
