keV,Region_0__Cr,Region_1__Cr,Region_2__Cr,Region_3__Cr,Region_4__Cr,Region_5__Cr,Region_6__Cr,Region_7__Cr,Region_8__Cr,Region_9__Cr,Region_10__Cr,Region_11__Cr
       -1.312500000000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.303802490234375,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.295104980468750,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.286407470703125,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.277709960937500,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.269012451171875,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.260314941406250,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.251617431640625,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.242919921875000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.234222412109375,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.225524902343750,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.216827392578125,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.208129882812500,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.199432373046875,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.190734863281250,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.182037353515625,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.173339843750000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.164642333984375,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.155944824218750,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.147247314453125,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.138549804687500,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.129852294921875,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
       -1.121154785156250,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000
